Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Valuation Risk Analyst - data scientist,-1,"About Swiss Re

Swiss Re is one of the world’s leading providers of reinsurance, insurance and other forms of insurance-based risk transfer, working to make the world more resilient. We anticipate and manage a wide variety of risks, from natural catastrophes and climate change to cybercrime.

At Swiss Re we combine experience with creative thinking and cutting-edge expertise to create new opportunities and solutions for our clients. This is possible thanks to the collaboration of our 15,000 employees across the world.

We offer a flexible working environment where curious and adaptable people thrive. Are you interested in joining us?



About the team:

Financial Risk Management (FRM) oversees all financial market and credit risks that arise throughout Swiss Re Group, from its core reinsurance businesses and the related investment and asset-liability matching activities. Within FRM, the Valuation Risk Management (VRM) is a global team responsible for identifying, monitoring, and reporting the risks to the valuations in the firm's asset portfolio. One of the team's main responsibilities is to perform the independent price verification (IPV) process to ensure that valuations reflected in financial statements are in line with accounting requirements and industry best practice.

Valuations assigned to financial instruments play a key role in understanding our portfolio and enabling appropriate decisions to be made. Valuations feed into our accounts, are at the core of P/L, determine the calibration of models, and form a key part of risk assessment. Inaccurate valuations distort the decision making process, and so it is clear that controls ensuring appropriate valuations are an essential part of the firm's operations. To ensure the firm is utilizing appropriate valuations, Swiss Re has developed an IPV process that formally assesses the quality of our valuations and acts to correct any issues.

Role and responsibilities:

This is a newly created role to help the Valuation Risk Management team in preparing the senior management reports and presentations, key risk indicator (KRI) Dashboards and working on other data driven analytical projects.

Innovation will be a key feature of this role. A curious mindset in finding and testing new technics in detecting patterns in data is required. Ability to come up with solutions to loosely defined business problems

Prepare stakeholder reports to simply and effectively communicate IPV results and valuation risk observations. Assist and oversee monthly control and reconciliation processes.

Requirements:

Bachelors in a quantitative discipline, e.g. Applied Mathematics, Engineering, Physics, Computer Science or similar. Those with data science certifications or Masters degree would be preferred,

1-3 years experience in producing detailed analysis reports on demand basis with tight deadlines and clearly communicating the result to senior management.

Candidates with exposure to data visualization techniques in analyzing the large data sets to come up with the signals/trends helpful in better understanding the market direction/deviations

Good understanding & hands-on experience with machine learning and statistics. Strong experience in advanced analytics platforms such as Python & R, Power BI/other analytical tools. Good command of MS Excel including Pivot tables and VBA is must.

Basic understanding of the independent price verification (IPV) process to understand how to value financial instruments and determine whether assets are valued correctly or need to be corrected are preferred but not mandatory.

Ability to work in cross-cultural environment and Ready to work with ambiguity

Excellent oral and written communication skills

Self-starter and able to work independently
Swiss Re",3.8,"Swiss Re
3.8",Bengaluru,"Zurich, Switzerland",10000+ employees,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,₹500+ billion (INR),"Munich Re, Hannover RE, SCOR"
Data Scientist,-1,"Bottomline is at the forefront of digital transformation. We are a growing global market leader uniquely equipped to address the changing needs of how businesses pay and get paid. Our culture of Working with and for each other enables us to delight our customers. We empower our teams to think like owners driving customer delight, helping them grow their business and win in their markets.

We are looking for Data Scientist to innovate, win, and grow with us in Bangalore, India.

As a member of Central Data & Analytics Team, you will be developing software to be used for a range of machine learning and data mining techniques, including predictive modeling, anomaly detection, customer profiling and segmentation, recommendations, text analytics, and big data analytics in solving our business problems. You will take an idea from conception and experimentation to design and implementation to deployment and production. In this role, you will interact with a team of experts in Machine Learning and Data Mining.

How you'll contribute:
Exposure to the sate-of-the-art of data analytics products and solutions.
Ability to prototype statistical analysis algorithms
Experience in coding structures for storing and processing complex, high volume, and multi-dimensional data
Experience in optimizing space/time tradeoffs for computationally expensive processes
Exposure to different Machine Learning techniques
Familiar with Agile software development process.
What will make you successful:
At least 2 years' professional experience in with major programming languages such as Java, Python, Scala
A completed graduate degree in Computer Science, Engineering or any other heavily numerate subject
Understanding of the full software development lifecycle (conduct data analysis and build large-scale machine-learning models/pipelines)
Experience in Big Data technologies (Hadoop, Spark), large relational and NoSQL databases
Experience in data pre-processing, Machine Learning, and data visualization
Experience in quantitative analysis and translation of findings into actionable insights
Outstanding communication and presentational skills
You'll love Botttomline because in everything we do we seek to delight our customers and we are passionate about building a company of which we can all be proud, and this starts with building amazing teams filled with team members that challenge you every day.

Start your #LifeAtBT

Public cloud AWS, ML, DL, NPL, Python, Java, Scala, Hadoop, Spark, Docker, Kubernetes, Agile, Scrum",3.7,"Bottomline Technologies
3.7",Bengaluru,"Portsmouth, NH",1001 to 5000 employees,1989,Company - Public,Computer Hardware & Software,Information Technology,₹10 to ₹50 billion (INR),-1
Data Scientist Sales & Channel,-1,"HP is the worlds leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives.
We are looking for visionaries, like you, who are ready to make a purposeful impact on the way the world works.
At HP, the future is yours to create!
If you are our Data Scientist in India, you will get an opportunity to work on below.

o Mines data using modern tools and programming languages.
o Defines and implements models to uncover patterns and predictions creating business value and innovation.
o Works with the business to understand the business domain perspective.
o Effectively tells stories with the data using visualization tools/methods to demonstrate insight impact and business value.
o Assures accuracy, integrity, and compliance of cleansed data.
o Maintains proficiency within the data science domain by keeping up with technology and trend shifts.
o Leads a project team of data science professionals
o Collaborates and communicates with project team regarding project progress and issue resolution.
o Represents the data science team for all phases of larger and more-complex development projects.
o Provides guidance, training and mentoring to less experienced staff members.

Are you a high-performer? We are looking for an individual with:

o Using statistics, mathematics, algorithms and programming languages.
o Understanding of how to manage disparate unstructured and structured data in a distributed environment.
o Fluent in structured and unstructured data and modern data transformation methodologies.
o Ability to create models to pull valuable insights from data.
o Create stories and visualizations to describe and communicate data insights.
o Ability to use creativity to spot trends and tease out patterns in large datasets.

#LIPOST",4.1,"HP Inc.
4.1",Bengaluru,"Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,-1,"What it’s like to work with the world’s fastest-growing Healthcare Technology Company


At Innovaccer, we go beyond the normal. We believe in doing things differently. So don’t expect - old-school cubicles, slow pace, and anything remotely dull.

What you can expect is plenty of support and guidance from your colleagues, freedom to take risks, and opportunities to learn from each other.

The healthcare industry is witnessing a transformational shift and we are committed to helping healthcare work as one. Taking on new challenges head-on and building something that can create a huge impact is a part of our culture.

We love organized chaos. So, if you are looking for a typical 9 to 5 job where you are told what to do, this may not be for you. When you work with Innovaccer, you are your own boss.

Your Role


Marketing Operations is a critically important department, enabling the leadership to grow and run the business more effectively. A Marketing Operations associate would be an individual with a strong interest in learning how a business is run, how the growth is tracked. Therefore, has the required technical know-how to build intelligent processes, create a live dashboard, and develop algorithms to assist decision making. You will be working closely with the Director Marketing and Operations Team. This role requires a highly resourceful individual with emotional intelligence, analytical skills, strong ML Knowledge, and expertise in coding.

A Day in the Life
Working closely with the leadership to devise data-driven strategies and improve process efficiency.
Leading an analytic solution module, or working as part of a larger team in data science projects.
Driving data-derived insights across a wide range of divisions by developing advanced statistical models, machine learning algorithms, and computational algorithms based on business initiatives.
Creating and Integrating Databases and from multiple sources and helping Analytics and Operation vertical with decision making and predictive abilities.
Directing the gathering of data, assessing data validity, and synthesizing data into large analytics datasets to support project goals.
Liaise with department heads and their reportees to discuss the progress on their goals, highlight the deviations, prepare solutions, and monitor progress on next steps
Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress. Automation Engineering
Integrate multiple data sources and databases into one system using Python
Develop live dashboards using SQL and NoSQL databases like MySQL, MongoDB, Elastic search
Develop algorithms to boost Marketing and Sales Activities
Help in general automation and integration of different tools.
Skills Required
Self-starter, curious, accountable, enjoys a healthy level of autonomy, strong work ethic, able
to succeed in a fast-paced, high-intensity startup environment
Highly-developed communication skills (written/verbal) and interpersonal savvy
Strong knowledge of Data Structures and Algorithms.
Proven experience of writing modular and reusable code using JavaScript/Python frameworks
Proven experience with Git
Proficiency with Python and basic libraries for machine learning such as scikit-learn and
pandas
Experience with BI Tools is a plus
What You Need
B.Tech in quantitative discipline
0-12 months of experience in a software engineering/Data Science profile
What We Offer
Industry-focused Certifications: We want you to be a subject matter expert in what you do. So, whether it’s our product or our domain, you will dive straight in and be certified by the best in the world.
Quarterly Rewards and Recognition Programs: We foster learning and encourage people to take moonshots. When you achieve your goals, we recognize and reward your hard work.
Health Benefits: We cover health insurance for you and your loved ones.
Sabbatical Policy: We encourage people to take time off and rejuvenate, upskill and pursue their interests so that they can generate new ideas for innovating at Innovaccer.
Pet-friendly office and open floor plan. No mundane cubicles.


Apply Here


Job Title

Data Scientist


Department

Marketing & Partnerships


Employment Type

Full-Time


Location

Noida",3.8,"InnovAccer
3.8",Noida,"San Francisco, CA",501 to 1000 employees,2014,Company - Private,Healthcare Services & Hospitals,Healthcare,₹1 to ₹5 billion (INR),Health Catalyst
Data Scientist / Sr. Data Scientist,-1,"Did you know: Piramal Glass is a trailblazer in the use of digital technology in glassmaking and has recently been recognised as India 100 Best Companies to work for by #GreatPlaceToWork.

Click below to read more about our digital accomplishments:
https://www.piramalglass.com/digital/

https://news.microsoft.com/en-in/features/piramal-glass-real-time-manufacturing-insights-azure-iot/

https://www.expresscomputer.in/news/piramal-glass-implements-indias-first-iot-implementation-in-the-glass-manufacturing-industry/33693/

Purpose of the Job

As a Data Scientist you will work in collaboration with our business and engineering people, on creating value from data. Often the work requires solving complex problems by turning vast amounts of data into business insights through advanced analytics, modeling and machine learning. You have a strong foundation in analytics, mathematical modeling, computer science, and math - coupled with a strong business sense. You proactively fetch information from various sources and analyze it for better understanding about how the business performs. Furthermore, you model and build AI tools that automate certain processes within the company. The solutions produced will be implemented to impact business results.

The Data Scientist believes in a non-hierarchical culture of collaboration, transparency, safety, and trust. Working with a focus on value creation, growth and serving customers with full ownership and accountability. Delivering exceptional customer and business results

Responsibilities

Develop an understanding of business obstacles, create solutions based on advanced analytics and draw implications for model development
Combine, explore and draw insights from data. Often large and complex data assets from different parts of the business.
Design and build explorative, predictive- or prescriptive models, utilizing optimization, simulation and machine learning techniques
Prototype and pilot new solutions and be a part of the aim of ‘productifying’ those valuable solutions that can have impact at a global scale
Guides and coaches other chapter colleagues to help solve data/technical problems at an operational level, and in methodologies to help improve development processes
Identifies and interprets trends and patterns in complex data sets to enable the business to take data-driven decisions

Qualifications

Industry

Any (prefer – Manufacturing, Logistics); willingness to learn manufacturing systems (OT systems and data stores)

Work experience

~2+ years of industry exposure in Data Science and Analytics projects, preferably in Manufacturing / Supply chain management

Skills and competencies required

Extract and present valuable information from data
Understand business requirements and generate insights
Build mathematical models, validate and work with them
Explain complex topics tailored to the audience
Validate and follow up on results
Work with large and complex data sets
Establish priorities with clear goals and responsibilities to achieve a high level of performance.
Work in an agile and iterative manner on solving problems
Evaluate different options proactively and ability to solve problems in an innovative way. Develop new solutions or combine existing methods to create new approaches
Good understanding of Digital & analytics
Strong communication skills, orally and in writing

Education
Bachelors or masters in Computer Science or Engineering / Mechanical Engineering / Chemical Engineering / Process Engineering

Functional knowledge required
Microsoft Azure
Analytics and statistics
Mathematical modeling
Python
Spark
SQL
Machine Learning
Deep learning
Optimization
Notebooks

Primary Location: India-Gujarat-Vadodara
Work Locations: Baroda Piramal Glass India, 3rd Floor,The Baroda Central Co-Operative Bank, Station Road,Sayajigunj Vadodara 390005
Job: Digital
Organization: Piramal Glass Limited
Day Job
Job Posting: 08-Jul-2020, 5:39:01 AM",3.6,"Piramal Glass Limited
3.6",Vadodara,"Mumbai, India",1001 to 5000 employees,-1,Contract,Advertising & Marketing,Business Services,₹500+ billion (INR),-1
Senior Data Scientist,-1,"Who we are:

automotiveMastermind (aM) provides U.S. automotive dealers with behavior prediction analytics software and marketing solutions to improve the efficiency of the vehicle sales process. The companys cloud-based technology helps dealers more precisely predict automobile-buying behavior and automates the creation of microtargeted customer communications, leading to increased sales and customer retention. aM was acquired by IHS Markit in 2017.

IHS Markit serves more than 50,000 key customers in more than 140 countries, including 80 percent of the Fortune Global 500. They help decision makers apply higher-level thinking to daily tasks and strategic issues across a host of industries and disciplines including energy, finance, automotive, engineering, technology, maritime and trade, aerospace and defense, chemical, and economics and country risk.

What you will do:
Work closely with product owners, designers, data engineers, marketing teams and others across the company to solve challenging business problems with technical expertise, curiosity and creativity
Establish necessary business and domain knowledge to correctly interpret data and results
Weave together disparate data sets and extract actionable insights to guide decisions and improve business outcomes
Bring analytical rigor and statistical methods to the challenges of measuring data quality, product performance, anticipating and interpreting the behavior of end-users
Communicate data-driven insights and recommendations to non-technical stakeholders
Own and lead projects, design and implement experiments, write production-quality code
Automate workflows and apply scientific methods to solve business and engineering problems
Who you are:
You enjoy learning new techniques and sharing your knowledge with others
You are able to work independently but have great collaboration skills
You possess a Master of Science or PhD in a quantitative discipline (e.g., statistics, operations research, computer science, mathematics, physics, electrical engineering, industrial engineering)
You claim 5+ years of related work experience in data analysis and machine learning (such as logistic regression, random forest, gradient boosting, clustering) on large datasets
You are able to demonstrate experience with the following:
Designing and implementing machine learning pipelines in production environments
Designing and implementing production-quality processes
Python and/or R, SQL, and Apache Airflow
Presenting results, insights and recommendations to executives and non-technical audiences
Other desirable experience:
Developed and implemented experimentation pipeline
Developed and implemented recommendation engine in production
Worked with micro-service architecture
Expected Hours of Work:
This is a full-time position. Generally, work is performed Monday through Friday, though holidays and weekends may be required.

We believe in equal employment opportunities:
The company provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, the company complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. The company expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of the companys employees to perform their job duties may result in disciplinary actions up to and including discharge.

-----------------------------------------------
IHS Markit is committed to providing equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by the laws and regulations in any of our locations.

We are proud to provide reasonable accommodations to applicants with disabilities. If you are interested in applying for employment with IHS Markit and need special assistance or an accommodation to use our website or to apply for a position, please contact or call +1 212 849 0399. Determination on requests for reasonable accommodation are considered on a case-by-case basis. This contact information (email and phone) is intended for application assistance and accommodation requests only. We are unable to accept resumes or provide information about application status through the phone number or email address above. Resumes are only accepted through the online application process, and only qualified candidates will receive consideration and follow-up.

IHS Markit maintains a substance-free workplace; employees may be asked to submit to a drug test (where permitted by law). In addition, as a federal contractor in the United States, the company participates in the E-Verify Program to confirm eligibility to work.

For information please click on the following links:

IHS Markit Business Code of Conduct
Right to Work
EEO is the Law
EEO is the Law Supplement
Pay Transparency Statement

-----------------------------------------------

Current Colleagues

If you are currently employed by IHS Markit, please apply internally via the Workday internal careers site.",3.5,"IHS Markit
3.5",Gurgaon,"London, United Kingdom",10000+ employees,2016,Company - Public,Consulting,Business Services,₹100 to ₹500 billion (INR),"Thomson Reuters, International Data Group"
Assistant Manager - Data Scientist,-1,"With a startup spirit and 90,000 curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.
Are you the one we are looking for?
We are inviting applications for the role of Assistant Manager, Data Science
We're looking for a Data Scientist who would be responsible for building various offerings as requested by the clients on a regular basis. The individual must be an active contributor to the overall objective of the project.
Responsibilities
In this role, you will be responsible for all the following activities;
Execute results by Business Intelligence and Analysis, Designing, Testing, Migration, Production Support, and Implement automation.
Experience in Core statistical modeling, matching algorithms, with specific exposure to MIXED model techniques and forecasting methodologies. Knowledge of Machine Learning techniques, including decision tree learning, clustering, artificial neural networks, etc., and their pros and cons
Coordinate with various technical/functional teams to implement models and monitor results
Develop processes, techniques, and tools to analyze and supervise model performance while ensuring data accuracy
Use predictive models to improve customer experience, ad targeting, revenue generation, and more
Manage day-to-day delivery independently and in collaboration with clients on a variety of projects by acquiring project specifications, required clarifications, and eventually presenting results/findings to the clients.
Experience using and developing data architectures
Proficiency in Big data handling tools such as Python/R programming knowledge
Interpret written business requirements and technical specification documents.
Qualifications we seek in you
Minimum qualifications
Master’s / Graduation in Business Analytics
Preferred qualifications
Good Interpersonal Skills.
Must possess problem solving skills and be proactive in researching solutions.
Advanced Excel skills (i.e. complex formulas)
Good analytical and problem-solving skills
Experience in using charting/reporting and the visual display of data on advanced visualization tools like Tableau/Power BI / Qlik.
Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube.",3.6,"Genpact
3.6",Bengaluru,"New York, NY",10000+ employees,1997,Company - Public,IT Services,Information Technology,₹100 to ₹500 billion (INR),"Accenture, IBM, Capgemini"
Data Scientist,-1,"Job Title
Data Scientist

30-Jun-2020

No. of Positions
2

Job Description
General Position Definition
Incumbent is responsible for developing analytical models for projects collaborating with different business stakeholders & other partners and working across a range of technologies and tools.
The ideal candidate has strong background in quantitative skills (like statistics, mathematics, advanced computing, machine learning) and has applied those skills in solving real world problems across different businesses / functions.
Purpose
Develops analytics models using specialized tools based on the business problem and data available
Identifies the right set of models and develops the right code / package to execute them
Evaluates the validity of the model (both scientifically as well as from a business perspective)
Support the Data Science Team Lead in design and execution of analytics projects
Work with Shell stakeholders and subject matter experts to complete tasks and deliverables on projects
Skills
Stakeholder Engagement Skills
Working collaboratively across multiple sets of stakeholders – business SMEs, IT, Data teams, Analytics resources, etc. to deliver on project deliverables and tasks
Identify actionable insights that directly address challenges / opportunities
Articulate business insights and recommendations (based on model output) to respective stakeholders
Understanding business KPI's, frameworks and drivers for performance
Proficiency Level: Skill
Auto req ID
141665BR

Country of Work Location
India

Employment Type
Full Time

Company Description
The aim of the Shell Business Operations, Chennai is to provide the Group with operational excellence through highlighting and utilizing process improvements and functional efficiencies as well as by leveraging economies of scale. Currently, the Chennai centre provides a wide range of finance, accounting and business services to Shell operating companies across several business sectors globally.

Set up in September 2007, the Chennai centre has grown rapidly and now , in its fourth year of operations , it has crossed the 1600 staff mark. The centre is located in the RMZ Millennia Business Park, where the Shell campus is a LEED Platinum building with world class infrastructure. The business is expected to grow further over the next two years and infrastructural additions to support this have been planned.

The main focus in Chennai is on Finance Operations which supports delivery of the global Finance functional plan. There is also a ‘Downstream India’ - Customer Services Team that handles lubricant depot ordering within the country. The Shell Business Operations (SBO Team) manages the centre facilities and supports business partners’ operations on site. There is a strong focus at SBO on safety & well being of staff and on its three core values: Compliance, Intervention & Respect.

Disclaimer
Please note: We occasionally amend or withdraw Shell jobs and reserve the right to do so at any time, including prior to the advertised closing date.

Before applying, you are advised to read our data protection policy. This policy describes the processing that may be associated with your personal data and informs you that your personal data may be transferred to Royal Dutch/Shell Group companies around the world.

The Shell Group and its approved recruitment consultants will never ask you for a fee to process or consider your application for a career with Shell. Anyone who demands such a fee is not an authorised Shell representative and you are strongly advised to refuse any such demand.

Shell is an Equal Opportunity Employer.

Work Location
Chennai - RMZ Millenia

Requirements
Industry / Functional Expertise
Provide deep business expertise preferably Oil & Gas - Upstream or Downstream businesses. (If these are not available, willing to consider other industries that are similar or related - manufacturing, mining, power generation, etc.)
functional expertise in any one or more of the following industry / functional areas
Customer / Marketing – pricing analytics, churn prediction, cross-sell / up-sell, Market Basket Analysis, Product Recommendation, Marketing Mix Modeling, Campaign design and effectiveness testing, Network Modeling, Customer segmentation, propensity analysis, customer lifetime value, profitability analysis, Customer experience (incl. voice of customer), CRM, Loyalty program management,
Online & Offline –Strong Campaign Analyses experience in both online & offline. Should have worked with multiple social media data, understands campaign effectiveness study and experienced in planning/targeting for CRM activities based on learning from previous activities, strong knowledge of all kinds of marketing data
Proficiency Level: Mastery
Modeling and Technology Skills
Deep expertise in machine learning techniques (supervised and unsupervised) statistics / mathematics / operations research including (but not limited to):
Advanced Machine learning techniques: Decision Trees, Neural Networks, Deep Learning, Support Vector Machines, Clustering, Bayesian Networks, Reinforcement Learning, Feature Reduction / engineering, Anomaly deduction, Natural Language Processing (incl. Theme deduction, sentiment analysis, Topic Modeling), Natural Language Generation
Statistics / Mathematics: Data Quality Analysis, Data identification, Hypothesis testing, Univariate / Multivariate Analysis, Cluster Analysis, Classification/PCA, Factor Analysis, Linear Modeling, Logit/Probit Model, Affinity & Association, Time Series, DoE, distribution / probability theory
Strong experience in specialized analytics tools and technologies (including, but not limited to)
Python, Azure Analysis Services
Spotfire, PowerBI
Awareness of Data Bricks, Apache Spark, Hadoop
Awareness of Agile / Scrum ways of working
Identify the right modeling approach(es) for given scenario and articulate why the approach fits
Assess data availability and modeling feasibility
Review interpretation of models results
Evaluate model fit and based on business / function scenario
Proficiency Level: Skill-to-Mastery
Special Challenges
Rapid onboarding on projects, understanding analytics goal and working with ill-defined datasets
Communicating technical jargon in plain English to colleagues within Data Science team and outside
Virtual working with network of colleagues located throughout the globe
Dimensions
Support design and delivery of analytics projects, within or cutting across upstream and downstream business units in Shell
Experience
5+ years of relevant experience in Retail domain
Advanced university degree in Mathematics, Statistics, Engineering, Economics, Quantitative Finance, OR, etc.
Good interpersonal communication skills and influencing skills
Eagerness to learn and ability to work with limited supervision
SBO Location
Chennai

City, State (if applicable)
Chennai",4.0,"Shell
4.0",Chennai,"Houston, TX",10000+ employees,1907,Company - Public,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",₹500+ billion (INR),"ExxonMobil, BP, Chevron"
"Data Scientist II, Consumer Payments",-1,"The Amazon Payments Team manages all Amazon branded payment offerings, globally. These offerings are growing rapidly and we are continuously adding new market-leading features and launching new products. Our payments products (Amazon Co-Branded Credit Cards, Gift Cards, Points, Shop with Points and Installments ) provide the most innovative payment experience on and off Amazon. We manage a financial services ad serving platform (billions of impressions per year) through Amazons purchase path where we offer Amazon branded and non-branded payment products and services. Our team of high caliber software developers, statisticians, analysts and product managers use rigorous quantitative approaches to ensure that we target the right product to the right customer at the right moment, managing tradeoffs between click through rate, approval rates and lifetime value. We leverage the wealth of Amazons information to build a wide range of probabilistic models, set up experiments that ensure that we are thriving to reach global optimums and leverage Amazons technological infrastructure to display the right offerings in real time. We work closely with product managers to understand their business, collect requirements and deliver high value analytics and insights for the Amazon Payments team that drive acquisition, usage and loyalty. Our petabytes of data has the ability to improve the shopping experience for hundreds of millions of consumers worldwide. Our goal is to delight our customers with their purchasing experience. Those of us who love to work with data see this as the pinnacle of opportunities that you cannot find anywhere else in the world.

We are looking for an outstanding Data Scientist that is able to comprehend the details behind the Amazon Payments Products business, understand/clarify business requirements, transform volumes of data into actionable insights, serve as the technical/statistics SME, help us improve our targeting methods/models by initiating innovative/creative projects, lead analytical discussions and road map, work across teams and influence the analytical direction of external teams, combine expert statistical/modeling knowledge with programming skills to manage and deliver on complex/critical analysis projects, independently identify and resolve business/technical issues, develop best practices and support our product managers across the world. Amazon.com has a culture of data-driven decision-making, and demands business intelligence that is timely, accurate, innovative and actionable.

Basic Qualifications

· Bachelor's degree in a quantitative field (i.e. math, engineering, statistics, finance, or similar)
· 4+ years of relevant work experience in data science, business analytics, business intelligence, or comparable experience
· Strong proficiency in MS Excel and relational databases - e.g. Redshift, SQL, ETL, Data Warehouse, etc.
· Deep understanding of common business metrics and the ability to generate new ones as needed
· Strong verbal/written communication & data presentation skills, including an ability to effectively communicate with both business and technical teams
· An ability to thrive in a highly ambiguous, fast-paced and rapidly-changing environment
· Ability to lead large projects and drive through completion

Preferred Qualifications

· Masters degree in an analytical field (or equivalent experience)
· 2+ years of relevant work experience in data science, business analytics, business intelligence (BI), or comparable experience
· Practical experience in programing or scripting languages like Python, VBA, etc.
· Familiarity with AWS solutions such as EC2, DynamoDB, and S3
· Financial service experience is a plus",4.3,"Amazon
4.3",Bengaluru,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart"
Data Scientist Intern,-1,"Amazon Internet Services Private Limited (AISPL), is seeking a talented, self-directed Intern Data Scientist to help use massive amounts of data to develop Machine Learning (ML) and Deep Learning (DL). The role will focus on public sector and healthcare, to derive business value through the adoption of Artificial Intelligence (AI). If you have experience with AI/ML-Data Science, including building ML or DL models, wed like to have you join our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers.

At Amazon Web Services (AWS), we are helping public sector healthcare build ML and DL models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. Our AI/ML and Analytics team works together with our AWS customers to address their business needs using AI.

This role will support the public sector AI/ML & Analytics team of AISPL and contribute to creation of healthcare data models for programs categorized as high impact by AISPL.

We are looking for a talented individual who is capable of using ML and other techniques to design, evangelize, and implement state-of-the-art solutions for never-before-solved problems.


Roles & Responsibilities:
· Design data architectures and data lakes
· Provide expertise in the development of ETL solutions on AWS
· Use ML tools, such as Amazon SageMaker Ground Truth (GT) to annotate data. Work with the team on designing workflow and user interface for GT annotation.
· Collaborate with our data scientists to create scalable ML solutions for business problems
· Interact with customer directly to understand the business problem, help and aid them in implementation of their ML ecosystem
· Analyze and extract relevant information from large amounts of historical data - provide hands-on data wrangling expertise
· Work closely with account team, research scientist teams and product engineering teams to drive model implementations and new algorithms
Basic Qualifications
· BS in computer science, or related technical, math, or scientific field
· Working knowledge of deep learning, machine learning and statistics
· User interface experience with Javascript, HTML
· Knowledge of ETL tools and databases (both SQL-based, NoSQL)
· Experience in using Python, R or Matlab or other statistical/machine learning software
· Strong communication and data presentation skills

Preferred Qualifications
· The motivation to achieve results in a fast-paced environment
· Comfortable working in a fast paced, highly collaborative, dynamic work environment
· Professional oral and written communication skills in English
· Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences
· Experience with AWS technologies like Redshift, S3, EC2, Data Pipeline, & EMR



Basic Qualifications

Basic Qualifications
· BS in computer science, or related technical, math, or scientific field
· Working knowledge of deep learning, machine learning and statistics
· User interface experience with Javascript, HTML
· Knowledge of ETL tools and databases (both SQL-based, NoSQL)
· Experience in using Python, R or Matlab or other statistical/machine learning software
· Strong communication and data presentation skills


Preferred Qualifications

Preferred Qualifications
· The motivation to achieve results in a fast-paced environment
· Comfortable working in a fast paced, highly collaborative, dynamic work environment
· Professional oral and written communication skills in English
· Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences
· Experience with AWS technologies like Redshift, S3, EC2, Data Pipeline, & EMR",4.3,"Amazon
4.3",Gurgaon,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart"
